id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit,subgenre
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,"euphoric,uplifting,danceable",0,dance pop
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020,"nostalgic,focused,peaceful",0,lo-fi hip hop
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2010,"aggressive,powerful,euphoric",0,alternative rock
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,"nostalgic,peaceful,melancholic",0,lo-fi hip hop
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,78,2010,"euphoric,aggressive,energetic",0,electropop
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2020,"peaceful,dreamy,nostalgic",0,space ambient
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,"nostalgic,romantic,peaceful",0,nu jazz
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2010,"nostalgic,melancholic,dreamy",0,retrowave
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,55,2020,"focused,peaceful,nostalgic",0,lo-fi hip hop
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,"euphoric,uplifting,romantic",0,indie pop
11,Velvet Underground,Sable Jones,r&b,romantic,0.55,94,0.78,0.69,0.48,80,2010,"romantic,melancholic,sensual",0,neo soul
12,Block Party Anthem,Krave,hip-hop,euphoric,0.87,96,0.73,0.91,0.08,88,2020,"euphoric,aggressive,energetic",1,trap
13,Moonlight Sonata Rework,Clara Voss,classical,peaceful,0.18,66,0.62,0.28,0.97,40,2000,"peaceful,melancholic,nostalgic",0,neo-classical
14,Drop the Signal,FRQNCY,edm,euphoric,0.95,138,0.68,0.93,0.03,91,2020,"euphoric,aggressive,energetic",0,electro house
15,Dusty Highway,The Ramblers,country,nostalgic,0.48,104,0.70,0.64,0.82,48,2000,"nostalgic,melancholic,peaceful",0,outlaw country
16,Iron Curtain,Dreadnought,metal,angry,0.97,168,0.22,0.55,0.06,63,2010,"aggressive,powerful,dark",1,death metal
17,Fading Letters,Maren Cole,soul,melancholic,0.33,76,0.31,0.45,0.74,44,2000,"melancholic,romantic,nostalgic",0,neo soul
18,Island Morning,Reef Roots,reggae,uplifting,0.61,88,0.85,0.77,0.65,57,2010,"uplifting,peaceful,euphoric",0,reggae fusion
